DATE,DOWNLOADS,Rating Count,Content rating,Ad Supported,Last Updated,Size,Minimum Android
2020-08-26,162405,700,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-27,160888,431,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-28,160095,2852,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-29,166825,825,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-30,160090,2892,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-08-31,159661,2086,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-09-01,167701,2061,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-09-02,155887,2301,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-09-03,155462,3294,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-09-04,162126,4221,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-09-05,165704,3476,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-09-06,157412,4180,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-09-07,167078,3915,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-09-08,162277,2758,EVERYONE,TRUE,2020-08-11,35.2,4.2
2020-09-09,159469,5056,EVERYONE,TRUE,2020-09-08,35.4,4.2
2020-09-10,162913,3289,EVERYONE,TRUE,2020-09-08,35.4,4.2
2020-09-11,159502,3205,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-12,162552,2678,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-13,163708,4369,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-14,171386,5468,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-15,159620,3783,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-16,165356,5474,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-17,158612,2772,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-18,167558,4275,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-19,165657,3966,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-20,161878,4939,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-21,157076,3784,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-22,161645,3346,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-23,167485,2729,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-24,167717,3185,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-25,159559,931,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-26,161794,1632,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-27,161685,1586,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-28,159959,1552,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-29,158492,1766,EVERYONE,TRUE,2020-09-10,36.1,4.2
2020-09-30,165594,629,EVERYONE,TRUE,2020-09-29,36.7,4.2
2020-10-01,155336,1042,EVERYONE,TRUE,2020-09-29,36.7,4.2
2020-10-02,171340,1135,EVERYONE,TRUE,2020-10-01,36.7,4.2
